Id,Clean_Status__c,Delete_Reason__c
0032A00002az3EFQAY,Archive,Old Inactive Contact
0032A00002az3EGQAY,Delete,No Activity 3+ Years
0032A00002az3EHQAY,Archive,Old Inactive Contact
0032A00002az3EIQAY,Delete,No Activity 3+ Years
0032A00002az3EJQAY,Archive,Old Inactive Contact
0032A00002az3EKQAY,Duplicate,Master: 0033j00003wPBMgAAO
0032A00002az3ELQAY,Delete,No Activity 3+ Years
0032A00002az3EMQAY,Archive,Old Inactive Contact
0032A00002az3ENQAY,Delete,No Activity 3+ Years
0032A00002az3EOQAY,Delete,No Activity 3+ Years
0032A00002az3EPQAY,Delete,No Activity 3+ Years
0032A00002az3EQQAY,Delete,Inactive 3+ Years
0032A00002az3ERQAY,Delete,No Activity 3+ Years
0032A00002az3ESQAY,Delete,No Email or Phone
